time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
2350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2618076e-05 -3.4428322e-05 0.000172795 761.32243 215.57849
2400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2616842e-05 -3.4427729e-05 0.00017278324 761.27062 215.56382
2450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2615683e-05 -3.442717e-05 0.0001727722 761.222 215.55005
2500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2614594e-05 -3.4426645e-05 0.00017276184 761.17636 215.53713
2550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2613572e-05 -3.4426151e-05 0.00017275212 761.13354 215.525
2600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2612612e-05 -3.4425686e-05 0.000172743 761.09335 215.51363
2650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.261171e-05 -3.4425249e-05 0.00017273444 761.05564 215.50295
2700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2610863e-05 -3.4424838e-05 0.00017272641 761.02024 215.49292
2750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2610068e-05 -3.4424452e-05 0.00017271887 760.98703 215.48352
2800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.260932e-05 -3.4424089e-05 0.0001727118 760.95586 215.47469
2850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2608618e-05 -3.4423748e-05 0.00017270516 760.92661 215.46641
2900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2607959e-05 -3.4423428e-05 0.00017269893 760.89917 215.45864
2950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2607339e-05 -3.4423128e-05 0.00017269308 760.87341 215.45135
3000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2606757e-05 -3.4422845e-05 0.0001726876 760.84925 215.4445
3050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2606211e-05 -3.442258e-05 0.00017268245 760.82657 215.43808
3100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2605697e-05 -3.4422332e-05 0.00017267762 760.8053 215.43206
3150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2605214e-05 -3.4422098e-05 0.00017267309 760.78533 215.42641
3200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2604761e-05 -3.4421879e-05 0.00017266884 760.7666 215.4211
3250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2604335e-05 -3.4421673e-05 0.00017266485 760.74903 215.41613
3300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603934e-05 -3.442148e-05 0.00017266111 760.73255 215.41146
