Model,Dataset,Porosity,Permeability,Min_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness,Minkowski_Volume,Minkowski_Surface_Area,Minkowski_Mean_Curvature,Minkowski_Euler_Characteristic,Bias_Error_,Magnitude_Error_,Correlation
Ko et. al (Etapa 0),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.33820475861302,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,57.16878128051758,78.93645477294922,0.8219646088103174
Ko et. al (Etapa 0),Spherical Pores,0.5266938657407407,1215.58984375,1.0,9.338204758613024,13.484778931738408,904953.0000000001,25173.582477932156,379.79670305853523,-27.82227348925196,61.56998062133789,81.7488784790039,0.8269609393553549
Ko et. al (Etapa 0),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.10595948237351,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,28.11098861694336,41.08172607421875,0.8553107695833528
Ko et. al (Etapa 0),Spherical Pores,0.5201394675925926,1032.4066162109375,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,27.534000396728516,41.976043701171875,0.8713252191504893
Ko et. al (Etapa 0),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373514,13.484778931738408,893348.0000000001,25876.033958198066,444.6298818250058,-24.83811830627892,26.0142879486084,39.082305908203125,0.8660245823951467
Ko et. al (Etapa 0),Spherical Pores,0.5201394675925926,1032.406494140625,1.0,9.105959482373509,13.484778931738408,893348.0000000001,25876.033958198066,444.62988182500567,-24.83811830627892,29.333351135253906,43.69062042236328,0.8653373846308537
Ko et. al (Etapa 0),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.572544885058969,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,100.71561431884766,103.78141021728516,0.8531363323302348
Ko et. al (Etapa 0),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058974,18.110771637517,877461.0000000001,20974.89937981467,336.77486651563237,-16.7311633925355,98.14630126953125,101.6202621459961,0.8548841143200213
Ko et. al (Etapa 0),Spherical Pores,0.5107760416666667,1590.3699951171875,1.0,11.57254488505897,18.110771637517,877461.0000000001,20974.89937981467,336.7748665156325,-16.7311633925355,102.57202911376953,106.45309448242188,0.852032849471562
Ko et. al (Etapa 0),Spherical Pores,0.5107760416666667,1590.3702392578125,1.0,11.572544885058976,18.110771637517,877461.0000000001,20974.899379814673,336.77486651563237,-16.7311633925355,103.28323364257812,105.8600845336914,0.8576003260432918
Ko et. al (Etapa 1),Spherical Pores,0.5221400462962963,568.2123413085938,1.0,7.435069575944726,10.891451493412363,897665.0,31603.664815892673,558.3988967004645,-67.1534388008366,6.464199542999268,31.097118377685547,0.9170558481183134
