Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
Bentheimer,Sample_0299,600.0,400.0,1720.8097,1696.8659,1.5,1.3914263732939214
Bentheimer,Sample_0294,1800.0,1200.0,605.55573,607.1054,1.5,0.2559087336189506
Bentheimer,Sample_0304,600.0,400.0,1013.8007,1009.9032,1.5,0.3844443981938498
Bentheimer,Sample_0167,1000.0,600.0,628.43626,626.06345,1.6666666666666667,0.37757369379035494
Bentheimer,Sample_0180,2000.0,1400.0,315.50291,312.61493,1.4285714285714286,0.9153576428185625
Bentheimer,Sample_0189,400.0,600.0,801.98657,785.85078,0.6666666666666666,2.011977582118369
Bentheimer,Sample_0274,4200.0,3600.0,120.26341,119.29557,1.1666666666666667,0.8047668031365446
Bentheimer,Sample_0387,1000.0,600.0,325.36397,321.05106,1.6666666666666667,1.3255647206419285
Bentheimer,Sample_0070,1400.0,600.0,598.59765,598.70484,2.3333333333333335,0.01790685279167834
Bentheimer,Sample_0265,800.0,600.0,1805.7635,1796.1968,1.3333333333333333,0.5297869848404889
Bentheimer,Sample_0042,1200.0,600.0,619.28926,619.83541,2.0,0.08818980648881453
Bentheimer,Sample_0201,800.0,800.0,2479.419,2480.9623,1.0,0.06224442097121431
Bentheimer,Sample_0111,800.0,600.0,667.43362,650.76784,1.3333333333333333,2.4969943827522565
Bentheimer,Sample_0129,4000.0,3600.0,180.93885,177.21677,1.1111111111111112,2.057092769186941
Bentheimer,Sample_0071,1400.0,400.0,598.59765,601.41198,3.5,0.4701538671259279
Bentheimer,Sample_0359,1400.0,1000.0,500.35652,500.17887,1.4,0.03550468374030011
Bentheimer,Sample_0349,1400.0,1200.0,582.80133,580.45615,1.1666666666666667,0.4023978462780837
Bentheimer,Sample_0029,800.0,800.0,3355.2307,3344.3109,1.0,0.3254560111172124
Bentheimer,Sample_0216,600.0,800.0,514.19807,477.42888,0.75,7.150783354748888
Bentheimer,Sample_0031,800.0,800.0,3355.2307,3344.7597,1.0,0.3120798817202049
Bentheimer,Sample_0002,2200.0,1200.0,405.94231,403.90854,1.8333333333333333,0.5009997602861362
Bentheimer,Sample_0337,600.0,600.0,818.57087,811.64119,1.0,0.846558343812059
Bentheimer,Sample_0079,1400.0,1200.0,499.72163,499.52374,1.1666666666666667,0.03960004693013377
