Dataset,Sample,Standard_Timesteps,NN_Started_Timesteps,Standard_Permeability,NN_Permeability,Speedup_Ratio,Perm_Error [%]
256³ Sandstone,Sample_00000,1800.0,600.0,499.87028,513.68569,3.0,2.763799040022952
256³ Sandstone,Sample_00001,1000.0,800.0,381.88786,386.45912,1.25,1.1970163178269126
256³ Sandstone,Sample_00002,2200.0,2400.0,430.19272,427.8623,0.9166666666666666,0.5417153502737108
256³ Sandstone,Sample_00003,1400.0,600.0,547.35416,563.30461,2.3333333333333335,2.91410044275539
256³ Sandstone,Sample_00004,1400.0,800.0,455.56993,467.71602,1.75,2.6661307518694253
256³ Sandstone,Sample_00005,1400.0,1000.0,684.7315,671.43554,1.4,1.9417771783538564
256³ Sandstone,Sample_00006,2000.0,400.0,313.77071,380.17169,5.0,21.162262086222132
256³ Sandstone,Sample_00007,1400.0,1000.0,452.57399,437.08375,1.4,3.4226978001983657
256³ Sandstone,Sample_00008,1600.0,1400.0,312.98802,307.13487,1.1428571428571428,1.8700875515938367
256³ Sandstone,Sample_00009,1600.0,600.0,470.43376,480.65957,2.6666666666666665,2.1736981631590315
256³ Sandstone,Sample_00010,1600.0,1600.0,780.70816,777.15944,1.0,0.45455141649858033
256³ Sandstone,Sample_00011,1000.0,800.0,763.91541,773.49984,1.25,1.2546454587164302
256³ Sandstone,Sample_00012,1600.0,800.0,386.30435,378.15484,2.0,2.109608654419765
256³ Sandstone,Sample_00013,1400.0,1200.0,586.06609,562.093,1.1666666666666667,4.090509655660178
256³ Sandstone,Sample_00014,1200.0,800.0,519.53982,512.54846,1.5,1.3456831855544753
256³ Sandstone,Sample_00015,1600.0,1400.0,649.91747,648.46705,1.1428571428571428,0.22316987416879383
256³ Sandstone,Sample_00016,1400.0,1000.0,407.02273,381.19631,1.4,6.345203374759941
256³ Sandstone,Sample_00017,3000.0,600.0,185.06553,222.0271,5.0,19.97215256671515
256³ Sandstone,Sample_00018,1400.0,1400.0,509.26453,513.603,1.0,0.8519089283520241
256³ Sandstone,Sample_00019,2000.0,2400.0,376.50229,377.60387,0.8333333333333334,0.292582549763497
256³ Sandstone,Sample_00020,1200.0,600.0,532.05755,519.01041,2.0,2.4522046534251816
256³ Sandstone,Sample_00021,2200.0,600.0,404.83866,423.96997,3.6666666666666665,4.725662810957823
256³ Sandstone,Sample_00022,1400.0,1800.0,582.45326,585.94356,0.7777777777777778,0.5992412163681679
256³ Sandstone,Sample_00023,1600.0,600.0,422.63198,444.24198,2.6666666666666665,5.113195646008618
256³ Sandstone,Sample_00024,1000.0,800.0,625.05616,630.26211,1.25,0.8328771609898269
256³ Sandstone,Sample_00025,1200.0,1000.0,668.24223,681.53357,1.2,1.989000306071663
256³ Sandstone,Sample_00026,1800.0,600.0,539.36114,529.12684,3.0,1.8974856067680297
256³ Sandstone,Sample_00027,2200.0,2000.0,387.48748,381.1763,1.1,1.6287442371041199
256³ Sandstone,Sample_00028,1200.0,1000.0,628.56679,608.23684,1.2,3.2343340951881885
256³ Sandstone,Sample_00029,1400.0,1000.0,580.09029,575.08007,1.4,0.8636965807512489
256³ Sandstone,Sample_00030,1400.0,1400.0,618.58174,619.48836,1.0,0.14656430045930152
256³ Sandstone,Sample_00031,800.0,600.0,1153.9809,1095.2678,1.3333333333333333,5.087874504682005
256³ Sandstone,Sample_00032,1600.0,800.0,308.49805,307.69288,2.0,0.2609967874999455
256³ Sandstone,Sample_00033,3000.0,600.0,382.7411,465.46388,5.0,21.613247179359625
256³ Sandstone,Sample_00034,1400.0,600.0,526.67752,559.78288,2.3333333333333335,6.285698314976501
256³ Sandstone,Sample_00035,1800.0,1600.0,531.77114,528.45749,1.125,0.6231346063646739
256³ Sandstone,Sample_00036,1200.0,1400.0,605.20403,577.27661,0.8571428571428571,4.614546271279784
256³ Sandstone,Sample_00037,1200.0,1400.0,664.34486,667.23482,0.8571428571428571,0.4350090102300142
256³ Sandstone,Sample_00038,1400.0,800.0,706.57415,700.79885,1.75,0.8173664434228192
256³ Sandstone,Sample_00039,1400.0,400.0,554.7586,591.34991,3.5,6.59589774723637
256³ Sandstone,Sample_00040,1600.0,1000.0,481.51845,470.54488,1.6,2.2789510973047857
256³ Sandstone,Sample_00041,1600.0,1000.0,564.98253,537.77311,1.6,4.815975460338574
256³ Sandstone,Sample_00042,1600.0,800.0,344.01675,354.25525,2.0,2.976163224610426
256³ Sandstone,Sample_00043,1800.0,400.0,541.819,589.74062,4.5,8.844580939391214
256³ Sandstone,Sample_00044,1600.0,600.0,707.4635,701.30445,2.6666666666666665,0.870582015891983
256³ Sandstone,Sample_00045,3000.0,2600.0,359.84558,348.96241,1.1538461538461537,3.024400077388753
256³ Sandstone,Sample_00046,1800.0,1000.0,401.88623,405.76223,1.8,0.9644520540054274
256³ Sandstone,Sample_00047,1400.0,1200.0,691.11246,685.20272,1.1666666666666667,0.855105404987208
256³ Sandstone,Sample_00048,1400.0,1000.0,524.48676,507.77237,1.4,3.1868087575747346
256³ Sandstone,Sample_00049,1400.0,600.0,555.05261,564.95947,2.3333333333333335,1.7848506288440031
256³ Sandstone,Sample_00050,1200.0,600.0,605.27909,629.58152,2.0,4.015078399618919
