Dataset,Porosity,Tortuosity,Permeability,Q1 Local Thickness,Mean Local Thickness,Max Local Thickness,M. Volume,M. Surface Area,M. Mean Curvature,M. Euler Char
Bentheimer,0.2616194384319384,1.3195457,660.5812579192125,4.930230219180438,7.841398455336687,15.140741912724573,448290.16883116885,12663.148474407666,255.98913726870825,8.310032487234052
Berea,0.2548677372685185,1.3567773,370.48643465042113,3.957849997318411,6.37308204006124,13.53365976029994,436926.8,15298.193020717843,357.95526734742464,-0.4424010058757529
Berea Buff,0.2572779605263158,1.3324903,726.4674495897794,5.032992358748892,8.16805618958271,15.651189036439439,440976.0,11874.197132229821,192.55184996995095,-0.13533405522781236
Berea Sinter Gray,0.23111626984126984,1.4199568,321.8094977412905,3.881204154310415,6.505457789759293,13.575376832101398,396436.0571428572,13662.156382968233,3839967887096232.0,-0.16597586922440508
Berea Upper Gray,0.21890280600722672,1.4716522,178.86264524227235,3.8531993525122283,5.979960523864879,12.592292960943526,375055.60975609755,13981.740215376354,382.4572497071404,3.3466208612951283
Castle Gate,0.2602326615831518,1.35234,501.13967577616376,4.411946130265768,7.038022601401858,14.255608816112987,446205.17647058825,13937.519901886639,272.8400962018418,-2.1234312076488537
Leopard,0.19089596064814812,1.3674175,286.1519875499606,4.443327998286548,7.6189256444544196,14.695088727883686,327235.18,10172.174169570091,259.9766984568214,5.457621942299957
Spherical Grains,0.33839563802083333,1.2288384,1511.8609983101487,5.506758847346879,8.380241936860973,16.331048094514358,577270.375,14714.207575658322,1.4573930618156688e+17,-5.378442358111738
Spherical Pores,0.6490899269386574,1.2496017,3858.3106113910676,7.4964411615906865,9.907834100049623,14.740362107072878,1115042.79375,26052.65092272389,5.710642398881761e+17,-76.65101002984545
