Dataset,Comp2_Ko_et_al_D3
Bentheimer,0.902
Berea,0.893
Berea Buff,0.902
Berea Sinter Gray,0.864
Berea Upper Gray,0.828
Castle Gate,0.893
Cylindrical Grains,0.942
Cylindrical Pores,0.898
Leopard,0.811
Spherical Grains,0.914
Spherical Pores,0.954
