Dataset,Comp2_Ko_et_al_D3
Bentheimer,31.551
Berea,27.892
Berea Buff,22.209
Berea Sinter Gray,42.708
Berea Upper Gray,41.528
Castle Gate,32.072
Cylindrical Grains,24.198
Cylindrical Pores,46.088
Leopard,296.191
Spherical Grains,62.573
Spherical Pores,9.137
