Dataset,Comp2_Ko_et_al_D3
Bentheimer,54.323
Berea,52.797
Berea Buff,47.315
Berea Sinter Gray,69.177
Berea Upper Gray,65.701
Castle Gate,55.566
Cylindrical Grains,39.465
Cylindrical Pores,49.884
Leopard,314.305
Spherical Grains,71.46
Spherical Pores,28.687
