Dataset,Comp0_Ko_et_al_D3_N0,Comp0_Ko_et_al_D3_N1,Comp0_Ko_et_al_D3_N2,Comp0_Ko_et_al_D3_N3,Comp0_Ko_et_al_D3_N4
Cylindrical Grains,0.88 (0.78-0.93),0.90 (0.83-0.94),0.92 (0.85-0.95),0.91 (0.87-0.95),0.93 (0.90-0.95)
Cylindrical Pores,0.87 (0.72-0.92),0.87 (0.76-0.94),0.89 (0.76-0.94),0.90 (0.81-0.94),0.91 (0.84-0.94)
Rocks,0.82 (0.70-0.89),0.85 (0.73-0.91),0.87 (0.76-0.92),0.88 (0.78-0.93),0.88 (0.76-0.93)
Spherical Grains,0.90 (0.84-0.93),0.92 (0.87-0.94),0.93 (0.90-0.95),0.93 (0.91-0.95),0.94 (0.91-0.96)
Spherical Pores,0.93 (0.89-0.96),0.95 (0.91-0.97),0.96 (0.91-0.98),0.96 (0.91-0.98),0.96 (0.92-0.98)
