Dataset,Comp5_Ko_et_al_D3
Bentheimer,28.838
Berea,36.014
Berea Buff,29.91
Berea Sinter Gray,37.741
Berea Upper Gray,42.162
Castle Gate,31.646
Cylindrical Grains,20.077
Cylindrical Pores,33.235
Leopard,37.182
Spherical Grains,21.65
Spherical Pores,23.233
