Dataset,Comp5_Ko_et_al_D3
Bentheimer,0.87
Berea,0.858
Berea Buff,0.877
Berea Sinter Gray,0.82
Berea Upper Gray,0.787
Castle Gate,0.855
Cylindrical Grains,0.913
Cylindrical Pores,0.888
Leopard,0.753
Spherical Grains,0.889
Spherical Pores,0.949
