Dataset,Comp5_Ko_et_al_D3
Bentheimer,4.906
Berea,7.622
Berea Buff,5.01
Berea Sinter Gray,9.612
Berea Upper Gray,9.696
Castle Gate,5.508
Cylindrical Grains,3.017
Cylindrical Pores,5.37
Leopard,7.764
Spherical Grains,2.536
Spherical Pores,2.224
