Dataset,Comp5_Ko_et_al_D3
Bentheimer,51.884
Berea,49.044
Berea Buff,42.148
Berea Sinter Gray,68.609
Berea Upper Gray,65.803
Castle Gate,56.097
Cylindrical Grains,36.514
Cylindrical Pores,40.306
Leopard,437.392
Spherical Grains,69.553
Spherical Pores,21.722
