Dataset,Comp5_Ko_et_al_D3
Bentheimer,0.781
Berea,0.734
Berea Buff,0.791
Berea Sinter Gray,1.005
Berea Upper Gray,1.034
Castle Gate,0.818
Cylindrical Grains,0.673
Cylindrical Pores,0.574
Leopard,6.702
Spherical Grains,1.059
Spherical Pores,0.403
