Dataset,Comp0_Ko_et_al_D3_N4,Comp0_Ko_et_al_D2_N4,Comp0_Ko_et_al_D1_N4,Comp0_Ko_et_al_D0_N4
Cylindrical Grains,0.93 (0.90-0.95),0.92 (0.88-0.96),0.86 (0.74-0.94),0.78 (0.72-0.84)
Cylindrical Pores,0.91 (0.84-0.94),0.91 (0.81-0.94),0.86 (0.71-0.94),0.81 (0.61-0.89)
Rocks,0.88 (0.76-0.93),0.87 (0.75-0.93),0.73 (0.55-0.84),0.61 (0.45-0.74)
Spherical Grains,0.94 (0.91-0.96),0.94 (0.90-0.95),0.85 (0.79-0.92),0.76 (0.60-0.87)
Spherical Pores,0.96 (0.92-0.98),0.96 (0.92-0.98),0.97 (0.91-0.99),0.90 (0.84-0.94)
