Dataset,Comp5_Ko_et_al_D3
Bentheimer,32.098
Berea,30.666
Berea Buff,23.73
Berea Sinter Gray,50.113
Berea Upper Gray,52.337
Castle Gate,37.452
Cylindrical Grains,25.832
Cylindrical Pores,35.54
Leopard,417.548
Spherical Grains,62.63
Spherical Pores,8.683
