Dataset,Comp5_Ko_et_al_D3
Bentheimer,41.081
Berea,43.553
Berea Buff,42.051
Berea Sinter Gray,45.195
Berea Upper Gray,45.829
Castle Gate,41.555
Cylindrical Grains,40.605
Cylindrical Pores,43.656
Leopard,45.559
Spherical Grains,41.002
Spherical Pores,33.117
