Dataset,Comp3_Ko_et_al_D3
Bentheimer,0.906
Berea,0.949
Berea Buff,1.192
Berea Sinter Gray,1.227
Berea Upper Gray,1.047
Castle Gate,0.852
Cylindrical Grains,0.529
Cylindrical Pores,0.651
Leopard,1.22
Spherical Grains,0.395
Spherical Pores,0.537
