Dataset,Comp0_Javier_Santos_D0_N4,Comp0_Javier_Santos_D1_N4,Comp0_Javier_Santos_D2_N4,Comp0_Javier_Santos_D3_N4
Cylindrical Grains,0.76 (0.67-0.82),0.85 (0.80-0.91),0.50 (0.46-0.56),0.23 (0.12-0.28)
Cylindrical Pores,0.77 (0.56-0.88),0.90 (0.77-0.97),0.44 (0.35-0.54),0.26 (0.16-0.34)
Rocks,0.51 (0.38-0.62),0.67 (0.55-0.76),0.32 (0.25-0.40),0.11 (0.06-0.17)
Spherical Grains,0.71 (0.49-0.80),0.82 (0.72-0.89),0.50 (0.40-0.59),0.21 (0.11-0.26)
Spherical Pores,0.85 (0.78-0.92),0.96 (0.92-0.97),0.53 (0.47-0.59),-0.01 (-0.08-0.10)
