Dataset,Comp3_Ko_et_al_D3
Bentheimer,1.403
Berea,1.584
Berea Buff,1.722
Berea Sinter Gray,1.776
Berea Upper Gray,1.77
Castle Gate,1.434
Cylindrical Grains,0.939
Cylindrical Pores,1.102
Leopard,1.721
Spherical Grains,1.032
Spherical Pores,0.994
