Dataset,Comp0_Javier_Santos_D0_N4,Comp0_Javier_Santos_D1_N4,Comp0_Javier_Santos_D2_N4,Comp0_Javier_Santos_D3_N4
Cylindrical Grains,231.75 (148.20-409.04),42.12 (34.60-53.24),85.29 (76.32-89.01),98.64 (96.75-99.39)
Cylindrical Pores,137.01 (12.62-289.62),46.01 (34.13-53.79),85.97 (75.15-95.33),99.51 (97.63-99.78)
Rocks,653.32 (390.46-1167.08),42.30 (22.53-71.15),66.05 (49.23-78.10),94.68 (89.99-96.88)
Spherical Grains,327.62 (177.78-717.04),44.34 (32.68-51.67),80.14 (71.70-86.98),97.50 (95.03-99.13)
Spherical Pores,113.56 (37.77-320.91),21.61 (12.59-41.59),89.76 (79.12-96.11),99.58 (99.31-99.86)
