time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
2300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2635513e-05 -3.4434089e-05 0.00017320359 763.12265 216.08825
2350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2633123e-05 -3.4433575e-05 0.00017318029 763.02001 216.05918
2400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2630884e-05 -3.4433027e-05 0.00017315846 762.92382 216.03195
2450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2628786e-05 -3.4432456e-05 0.00017313799 762.83366 216.00642
2500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.262682e-05 -3.4431873e-05 0.00017311881 762.74914 215.98248
2550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2624977e-05 -3.4431286e-05 0.00017310083 762.66989 215.96004
2600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2623249e-05 -3.4430702e-05 0.00017308396 762.59558 215.939
2650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2621629e-05 -3.4430124e-05 0.00017306814 762.52588 215.91927
2700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.262011e-05 -3.4429559e-05 0.0001730533 762.46051 215.90075
2750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2618685e-05 -3.4429008e-05 0.00017303938 762.39918 215.88339
2800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2617348e-05 -3.4428474e-05 0.00017302633 762.34165 215.8671
2850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2616094e-05 -3.4427959e-05 0.00017301407 762.28767 215.85181
2900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2614917e-05 -3.4427463e-05 0.00017300258 762.23702 215.83747
2950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2613813e-05 -3.4426987e-05 0.00017299179 762.18949 215.82401
3000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2612776e-05 -3.4426533e-05 0.00017298167 762.14489 215.81138
3050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2611804e-05 -3.4426099e-05 0.00017297217 762.10304 215.79953
3100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2610891e-05 -3.4425685e-05 0.00017296325 762.06375 215.78841
3150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2610034e-05 -3.4425292e-05 0.00017295488 762.02688 215.77797
3200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.260923e-05 -3.4424919e-05 0.00017294703 761.99227 215.76817
3250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2608475e-05 -3.4424565e-05 0.00017293966 761.95979 215.75897
3300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2607767e-05 -3.442423e-05 0.00017293273 761.9293 215.75033
3350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2607102e-05 -3.4423913e-05 0.00017292624 761.90067 215.74223
3400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2606477e-05 -3.4423613e-05 0.00017292014 761.87381 215.73462
3450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2605891e-05 -3.4423329e-05 0.00017291442 761.84859 215.72748
3500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2605341e-05 -3.4423062e-05 0.00017290904 761.82491 215.72077
3550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2604824e-05 -3.4422809e-05 0.000172904 761.80268 215.71448
3600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2604339e-05 -3.4422571e-05 0.00017289926 761.78181 215.70857
3650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603884e-05 -3.4422347e-05 0.00017289481 761.76222 215.70302
3700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603456e-05 -3.4422135e-05 0.00017289064 761.74383 215.69782
3750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2603055e-05 -3.4421936e-05 0.00017288672 761.72657 215.69293
3800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2602678e-05 -3.4421749e-05 0.00017288304 761.71036 215.68834
3850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2602324e-05 -3.4421572e-05 0.00017287959 761.69514 215.68403
3900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601992e-05 -3.4421406e-05 0.00017287634 761.68085 215.67998
3950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.260168e-05 -3.442125e-05 0.0001728733 761.66743 215.67618
4000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601387e-05 -3.4421103e-05 0.00017287044 761.65484 215.67262
4050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2601112e-05 -3.4420965e-05 0.00017286776 761.64301 215.66927
4100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600854e-05 -3.4420835e-05 0.00017286524 761.63191 215.66613
4150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600611e-05 -3.4420713e-05 0.00017286287 761.62149 215.66317
4200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600384e-05 -3.4420598e-05 0.00017286065 761.6117 215.6604
4250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.260017e-05 -3.442049e-05 0.00017285857 761.60251 215.6578
4300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599969e-05 -3.4420389e-05 0.00017285661 761.59389 215.65536
4350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599781e-05 -3.4420293e-05 0.00017285477 761.58579 215.65306
4400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599604e-05 -3.4420204e-05 0.00017285304 761.57818 215.65091
4450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599437e-05 -3.442012e-05 0.00017285142 761.57104 215.64889
4500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599281e-05 -3.4420041e-05 0.0001728499 761.56434 215.64699
4550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599135e-05 -3.4419967e-05 0.00017284847 761.55804 215.64521
4600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598997e-05 -3.4419897e-05 0.00017284713 761.55213 215.64353
4650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598868e-05 -3.4419832e-05 0.00017284587 761.54658 215.64196
4700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598747e-05 -3.441977e-05 0.00017284469 761.54137 215.64049
4750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598633e-05 -3.4419713e-05 0.00017284358 761.53648 215.6391
4800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598526e-05 -3.4419658e-05 0.00017284254 761.53189 215.6378
4850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598426e-05 -3.4419607e-05 0.00017284156 761.52758 215.63658
4900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598331e-05 -3.441956e-05 0.00017284064 761.52353 215.63544
4950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598243e-05 -3.4419515e-05 0.00017283978 761.51973 215.63436
5000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259816e-05 -3.4419473e-05 0.00017283897 761.51616 215.63335
5050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598082e-05 -3.4419433e-05 0.00017283821 761.51281 215.6324
5100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598008e-05 -3.4419396e-05 0.00017283749 761.50966 215.63151
5150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597939e-05 -3.4419361e-05 0.00017283682 761.50671 215.63067
5200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597875e-05 -3.4419328e-05 0.00017283619 761.50393 215.62989
5250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597814e-05 -3.4419297e-05 0.0001728356 761.50133 215.62915
5300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597757e-05 -3.4419269e-05 0.00017283504 761.49888 215.62846
5350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597704e-05 -3.4419241e-05 0.00017283452 761.49659 215.62781
5400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597653e-05 -3.4419216e-05 0.00017283403 761.49443 215.6272
5450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597606e-05 -3.4419192e-05 0.00017283357 761.49241 215.62662
5500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597562e-05 -3.441917e-05 0.00017283314 761.49051 215.62608
5550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259752e-05 -3.4419149e-05 0.00017283274 761.48872 215.62558
5600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597481e-05 -3.4419129e-05 0.00017283236 761.48705 215.6251
5650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597444e-05 -3.441911e-05 0.000172832 761.48547 215.62466
5700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259741e-05 -3.4419093e-05 0.00017283167 761.484 215.62424
5750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597378e-05 -3.4419077e-05 0.00017283135 761.48261 215.62385
