time Fx Fy Fz mu Vs As Js Xs vx vy vz absperm(mDa) absperm*(mDa)
2350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600794e-05 -3.4404504e-05 0.00017235857 759.39959 215.03401
2400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600599e-05 -3.4406357e-05 0.00017235942 759.4033 215.03507
2450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600418e-05 -3.4407933e-05 0.00017236037 759.40749 215.03625
2500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600248e-05 -3.4409276e-05 0.0001723614 759.41204 215.03754
2550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2600091e-05 -3.441042e-05 0.0001723625 759.41687 215.03891
2600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599943e-05 -3.4411399e-05 0.00017236364 759.4219 215.04033
2650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599805e-05 -3.4412236e-05 0.00017236481 759.42708 215.0418
2700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599675e-05 -3.4412954e-05 0.00017236601 759.43237 215.04329
2750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599554e-05 -3.4413572e-05 0.00017236723 759.43772 215.04481
2800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599439e-05 -3.4414104e-05 0.00017236845 759.44311 215.04634
2850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599331e-05 -3.4414563e-05 0.00017236968 759.44852 215.04787
2900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599229e-05 -3.4414961e-05 0.00017237091 759.45392 215.0494
2950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2599132e-05 -3.4415307e-05 0.00017237213 759.4593 215.05092
3000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259904e-05 -3.4415609e-05 0.00017237334 759.46464 215.05243
3050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598953e-05 -3.4415873e-05 0.00017237454 759.46994 215.05393
3100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259887e-05 -3.4416104e-05 0.00017237573 759.47519 215.05542
3150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598791e-05 -3.4416308e-05 0.00017237691 759.48037 215.05689
3200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598716e-05 -3.4416489e-05 0.00017237807 759.4855 215.05834
3250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598644e-05 -3.4416649e-05 0.00017237922 759.49056 215.05977
3300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598575e-05 -3.4416792e-05 0.00017238035 759.49555 215.06119
3350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259851e-05 -3.4416921e-05 0.00017238147 759.50047 215.06258
3400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598447e-05 -3.4417036e-05 0.00017238257 759.50532 215.06395
3450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598386e-05 -3.441714e-05 0.00017238366 759.5101 215.06531
3500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598328e-05 -3.4417235e-05 0.00017238473 759.51481 215.06664
3550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598273e-05 -3.4417321e-05 0.00017238578 759.51945 215.06795
3600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598219e-05 -3.4417399e-05 0.00017238682 759.52402 215.06925
3650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598168e-05 -3.4417471e-05 0.00017238784 759.52853 215.07052
3700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598119e-05 -3.4417538e-05 0.00017238885 759.53297 215.07178
3750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598071e-05 -3.44176e-05 0.00017238984 759.53734 215.07302
3800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2598025e-05 -3.4417657e-05 0.00017239082 759.54165 215.07424
3850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597982e-05 -3.441771e-05 0.00017239178 759.5459 215.07544
3900 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597939e-05 -3.4417759e-05 0.00017239273 759.55009 215.07663
3950 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597899e-05 -3.4417806e-05 0.00017239367 759.55423 215.0778
4000 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259786e-05 -3.4417849e-05 0.0001723946 759.55831 215.07896
4050 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597822e-05 -3.441789e-05 0.00017239551 759.56233 215.08009
4100 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597786e-05 -3.4417929e-05 0.00017239641 759.5663 215.08122
4150 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597751e-05 -3.4417965e-05 0.0001723973 759.57021 215.08233
4200 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597717e-05 -3.4417999e-05 0.00017239818 759.57408 215.08342
4250 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597685e-05 -3.4418032e-05 0.00017239904 759.5779 215.0845
4300 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597654e-05 -3.4418063e-05 0.0001723999 759.58167 215.08557
4350 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597624e-05 -3.4418092e-05 0.00017240075 759.58539 215.08663
4400 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597595e-05 -3.441812e-05 0.00017240158 759.58907 215.08767
4450 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597567e-05 -3.4418147e-05 0.00017240241 759.5927 215.0887
4500 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597541e-05 -3.4418172e-05 0.00017240322 759.5963 215.08971
4550 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597515e-05 -3.4418196e-05 0.00017240403 759.59985 215.09072
4600 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.259749e-05 -3.4418219e-05 0.00017240482 759.60336 215.09171
4650 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597466e-05 -3.4418241e-05 0.00017240561 759.60683 215.0927
4700 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597443e-05 -3.4418262e-05 0.00017240639 759.61026 215.09367
4750 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597421e-05 -3.4418282e-05 0.00017240716 759.61366 215.09463
4800 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.25974e-05 -3.4418302e-05 0.00017240792 759.61702 215.09558
4850 0 0 0 0.33333333 1238694 118207.07 -11296.905 58 4.2597379e-05 -3.441832e-05 0.00017240868 759.62034 215.09652
